Fecha,Casos
2020-12-12,8164
2020-12-13,8697
2020-12-14,8745
2020-12-15,10131
2020-12-16,11950
2020-12-17,12197
2020-12-18,13278
2020-12-19,13990
2020-12-20,11161
2020-12-21,10844
2020-12-22,12516
2020-12-23,14229
2020-12-24,14937
2020-12-25,14940
2020-12-26,10192
2020-12-27,9583
2020-12-28,9305
2020-12-29,11016
2020-12-30,11638
2020-12-31,16316
2021-01-01,12108
2021-01-02,11524
2021-01-03,9410
2021-01-04,10315
2021-01-05,16835
2021-01-06,16804
2021-01-07,17573
2021-01-08,18232
2021-01-09,15796
2021-01-10,15538
2021-01-11,15003
2021-01-12,14179
2021-01-13,15905
2021-01-14,17131
2021-01-15,21082
2021-01-16,20859
2021-01-17,17382
2021-01-18,14720
2021-01-19,15951
2021-01-20,17916
2021-01-21,15381
2021-01-22,15092
2021-01-23,15568
2021-01-24,12411
2021-01-25,12232
2021-01-26,13607
2021-01-27,13956
2021-01-28,12278
2021-01-29,10232
2021-01-30,8998
2021-01-31,8078
2021-02-01,9622
2021-02-02,10090
2021-02-03,11026
2021-02-04,9790
2021-02-05,7250
2021-02-06,8548
2021-02-07,6002
2021-02-08,4244
2021-02-09,5442
2021-02-10,6436
2021-02-11,6294
2021-02-12,5527
2021-02-13,4948
2021-02-14,4924
2021-02-15,3511
2021-02-16,4050
2021-02-17,5104
2021-02-18,4824
2021-02-19,4476
2021-02-20,5018
2021-02-21,4244
2021-02-22,3398
2021-02-23,3925
2021-02-24,3953
2021-02-25,3683
2021-02-26,3567
2021-02-27,3343
2021-02-28,3555
2021-03-01,3570
2021-03-02,4339
2021-03-03,3047
2021-03-04,3565
2021-03-05,3371
2021-03-06,3663
2021-03-07,3411
2021-03-08,2205
2021-03-09,3511
2021-03-10,3588
2021-03-11,4579
2021-03-12,4078
2021-03-13,4465
2021-03-14,4062
2021-03-15,2740
2021-03-16,3716
2021-03-17,4554
2021-03-18,5139
2021-03-19,5132
2021-03-20,6761
2021-03-21,5963
2021-03-22,5128
2021-03-23,4945
2021-03-24,5986
2021-03-25,6732
2021-03-26,7395
2021-03-27,8254
2021-03-28,7139
2021-03-29,7049
2021-03-30,7952
2021-03-31,8646
2021-04-01,11449
2021-04-02,10222
2021-04-03,9148
2021-04-04,9022
2021-04-05,10190
2021-04-06,11827
2021-04-07,11381
2021-04-08,12464
2021-04-09,12125
2021-04-10,14509
2021-04-11,17483
2021-04-12,16739
2021-04-13,16377
2021-04-14,16487
2021-04-15,16918
2021-04-16,16703
2021-04-17,16654
2021-04-18,16872
2021-04-19,14189
2021-04-20,16965
2021-04-21,17212
2021-04-22,19306
2021-04-23,19919
2021-04-24,16730
2021-04-25,17189
2021-04-26,12840
2021-04-27,17578
2021-04-28,19745
2021-04-29,17303
2021-04-30,17790
2021-05-01,18022
2021-05-02,15909
2021-05-03,11599
2021-05-04,14551
2021-05-05,14806
2021-05-06,16490
2021-05-07,17529
2021-05-08,16910
2021-05-09,17222
2021-05-10,12543
2021-05-11,16425
2021-05-12,16993
2021-05-13,19160
2021-05-14,16581
2021-05-15,18873
2021-05-16,15093
2021-05-17,12984
2021-05-18,13137
2021-05-19,16582
2021-05-20,16089
2021-05-21,14838
2021-05-22,18737
2021-05-23,21669
2021-05-24,16977
2021-05-25,21181
2021-05-26,23487
2021-05-27,25092
2021-05-28,23374
2021-05-29,20494
2021-05-30,20218
2021-05-31,23177
2021-06-01,25966
2021-06-02,27000
2021-06-03,28624
2021-06-04,30000
2021-06-05,28971
2021-06-06,24050
2021-06-07,21949
2021-06-08,18586
2021-06-09,24233
2021-06-10,29302
2021-06-11,29570
2021-06-12,29998
2021-06-13,28519
2021-06-14,24376
2021-06-15,24452
2021-06-16,27827
2021-06-17,29945
2021-06-18,28790
2021-06-19,28733
2021-06-20,27818
2021-06-21,23239
2021-06-22,28616
2021-06-23,29996
2021-06-24,32997
2021-06-25,32732
2021-06-26,33593
2021-06-27,32376
2021-06-28,28478
2021-06-29,25881
2021-06-30,27908
2021-07-01,28315
2021-07-02,28005
2021-07-03,26929
2021-07-04,26265
2021-07-05,25366
2021-07-06,26721
2021-07-07,24229
2021-07-08,23275
2021-07-09,21536
2021-07-10,20915
2021-07-11,19422
2021-07-12,18651
2021-07-13,17532
2021-07-14,17230
2021-07-15,18070
2021-07-16,17893
2021-07-17,19925
2021-07-18,18206
2021-07-19,16455
2021-07-20,12829
2021-07-21,11244
2021-07-22,12576
2021-07-23,13164
2021-07-24,11064
2021-07-25,11048
2021-07-26,8503
2021-07-27,11426
2021-07-28,9365
2021-07-29,9690
2021-07-30,9462
2021-07-31,9029
2021-08-01,9094
2021-08-02,6636
2021-08-03,6929
2021-08-04,7084
2021-08-05,6540
2021-08-06,6980
2021-08-07,6051
2021-08-08,4350
2021-08-09,4023
2021-08-10,3948
2021-08-11,5368
2021-08-12,4272
2021-08-13,4027
2021-08-14,4007
2021-08-15,3132
2021-08-16,3161
2021-08-17,3247
2021-08-18,3154
2021-08-19,3193
2021-08-20,3416
2021-08-21,2965
2021-08-22,2640
2021-08-23,2698
2021-08-24,2467
2021-08-25,2448
2021-08-26,1935
2021-08-27,2078
2021-08-28,2141
2021-08-29,1954
2021-08-30,2006
2021-08-31,1822
2021-09-01,1996
2021-09-02,1949
2021-09-03,1850
2021-09-04,2099
